sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,23,"URBAN 20,000-100,000",Swietokrzyskie,SECONDARY,no specialisation,PUPIL OR STUDENT,0.0,,SINGLE,10.0,1983.0,,,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,0.0,NO,,YES,NO,NO,,NO,,,NONE,174.0,102.0
FEMALE,30,"URBAN 500,000 AND OVER",Podlaskie,VOCATIONAL/GRAMMAR,no specialisation,OTHER ECONOMICALLY INACTIVE,1.0,,SINGLE,7.0,1981.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,0.0,NO,,NO,NO,NO,,NO,,GERMANY,ACTIVE,172.0,56.0
FEMALE,16,RURAL AREAS,Lubuskie,POST-SECONDARY OR HIGHER,services for the population and transport services,PUPIL OR STUDENT,0.0,1644.0,SINGLE,7.0,1981.0,,,MIXED,0.0,IT`S DIFFICULT TO TELL,NO,YES,NO,2.0,NO,,NO,NO,,,NO,MORE THAN 2 YEARS,,NONE,189.0,72.0
MALE,46,RURAL AREAS,Malopolskie,POST-SECONDARY OR HIGHER,no specialisation,PUPIL OR STUDENT,0.0,,SINGLE,7.0,1981.0,,1998.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,0.0,NO,,YES,NO,,,NO,,,ACTIVE,188.0,69.0
FEMALE,26,RURAL AREAS,Wielkopolskie,POST-SECONDARY OR HIGHER,no specialisation,EMPLOYED IN PRIVATE SECTOR,,911.0,SINGLE,7.0,1982.0,,,PLEASED,1.0,IT`S DIFFICULT TO TELL,YES,YES,NO,15.0,NO,15.0,NO,NO,NO,,NO,LESS THAN 1 YEAR,,ACTIVE,164.0,50.0
FEMALE,55,RURAL AREAS,Pomorskie,POST-SECONDARY OR HIGHER,no specialisation,LONG-TERM SICK/DISABLED,0.0,,MARRIED,,1986.0,,2001.0,MOSTLY SATISFIED,11.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,0.0,NO,,NO,NO,NO,,NO,,,NONE,165.0,79.0
FEMALE,51,"URBAN 20,000-100,000",Podkarpackie,SECONDARY,no specialisation,PUPIL OR STUDENT,,,SINGLE,7.0,1982.0,,1998.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,12.0,NO,,NO,NO,NO,,"YES, TO EU COUNTRY",,,NONE,167.0,59.0
FEMALE,58,RURAL AREAS,Pomorskie,PRIMARY/NO EDUCATION,no specialisation,SELF-EMPLOYED,25.0,,MARRIED,,1998.0,,,MOSTLY DISSATISFIED,19.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,0.0,NO,16.0,NO,NO,NO,,NO,,,NONE,167.0,88.0
FEMALE,16,"URBAN 500,000 AND OVER",Malopolskie,SECONDARY,no specialisation,PUPIL OR STUDENT,0.0,574.0,SINGLE,,1981.0,,,MOSTLY SATISFIED,2.0,IT`S DIFFICULT TO TELL,YES,YES,NO,18.0,NO,,NO,NO,NO,,NO,,,ACTIVE,162.0,79.0
FEMALE,74,"URBAN BELOW 20,000",Podlaskie,PRIMARY/NO EDUCATION,technical science,RETIRED,25.0,100.0,WIDOWED,10.0,1980.0,,,PLEASED,11.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,YES,,NO,NO,NO,,NO,,,NONE,161.0,83.0
FEMALE,35,RURAL AREAS,Warminsko-mazurskie,SECONDARY,no specialisation,OTHER ECONOMICALLY INACTIVE,0.0,,MARRIED,9.0,1949.0,,,MOSTLY DISSATISFIED,7.0,IT`S DIFFICULT TO TELL,YES,YES,YES,10.0,NO,15.0,NO,NO,NO,,NO,,,NONE,163.0,82.0
FEMALE,61,RURAL AREAS,Pomorskie,SECONDARY,no specialisation,RETIRED,23.0,1637.0,DIVORCED,10.0,1990.0,,,PLEASED,7.0,ONE CAN`T BE TOO CAREFUL,NO,YES,YES,6.0,YES,,NO,NO,NO,,NO,,,NONE,169.0,70.0
FEMALE,33,RURAL AREAS,Warminsko-mazurskie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,,100.0,MARRIED,10.0,2011.0,,,PLEASED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10.0,NO,,NO,NO,NO,,NO,,,NONE,163.0,74.0
FEMALE,51,RURAL AREAS,Malopolskie,VOCATIONAL/GRAMMAR,services for the population and transport services,LONG-TERM SICK/DISABLED,0.0,131.0,MARRIED,3.0,1985.0,,,MOSTLY DISSATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,14.0,NO,,NO,NO,NO,,NO,,,NONE,161.0,104.0
MALE,28,"URBAN BELOW 20,000",Lodzkie,SECONDARY,services for the population and transport services,OTHER ECONOMICALLY INACTIVE,,1604.0,MARRIED,9.0,1964.0,,,PLEASED,7.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,17.0,NO,,NO,NO,NO,,NO,,,NONE,167.0,85.0
FEMALE,92,RURAL AREAS,Swietokrzyskie,SECONDARY,no specialisation,RETIRED,26.0,,SINGLE,9.0,1958.0,,,MOSTLY SATISFIED,14.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,0.0,NO,,YES,NO,NO,,NO,,,NONE,163.0,82.0
FEMALE,75,"URBAN BELOW 20,000",Podkarpackie,PRIMARY/NO EDUCATION,environmental protection,RETIRED,26.0,1749.0,MARRIED,6.0,,,,MIXED,7.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,,NO,NO,NO,,NO,,,NONE,166.0,86.0
FEMALE,33,RURAL AREAS,Podlaskie,SECONDARY,no specialisation,RETIRED,24.0,714.0,DIVORCED,10.0,1979.0,,1998.0,PLEASED,15.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,,NO,NO,NO,,NO,,,ACTIVE,163.0,65.0
FEMALE,64,RURAL AREAS,Dolnoslaskie,VOCATIONAL/GRAMMAR,no specialisation,RETIRED,0.0,1852.0,MARRIED,10.0,,3.0,,PLEASED,13.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,0.0,NO,,NO,NO,NO,,NO,,,NONE,167.0,43.0
FEMALE,48,"URBAN 200,000-500,000",Warminsko-mazurskie,SECONDARY,,UNEMPLOYED,0.0,1595.0,MARRIED,7.0,,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,YES,7.0,YES,,YES,NO,NO,,NO,,,ACTIVE,167.0,115.0
MALE,53,RURAL AREAS,Podkarpackie,SECONDARY,economy and administration,SELF-EMPLOYED,7.0,,SINGLE,7.0,1982.0,,,PLEASED,4.0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NO,0.0,NO,,NO,NO,NO,,NO,,GREAT BRITAIN,NONE,164.0,83.0
FEMALE,65,RURAL AREAS,Lubelskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,,492.0,WIDOWED,12.0,,,2005.0,MOSTLY DISSATISFIED,11.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,0.0,NO,,NO,NO,NO,14.0,NO,,,NONE,166.0,83.0
FEMALE,30,"URBAN BELOW 20,000",Dolnoslaskie,SECONDARY,no specialisation,PUPIL OR STUDENT,0.0,1532.0,SINGLE,7.0,1981.0,,,MOSTLY SATISFIED,10.0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NO,13.0,NO,,NO,NO,NO,,NO,IT DEPENDS,,PASSIVE,191.0,114.0
FEMALE,62,RURAL AREAS,Swietokrzyskie,VOCATIONAL/GRAMMAR,no specialisation,RETIRED,0.0,1263.0,WIDOWED,1.0,,1.0,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,9.0,NO,16.0,NO,NO,NO,,NO,LESS THAN 1 YEAR,,NONE,167.0,81.0
FEMALE,88,"URBAN 20,000-100,000",Podlaskie,PRIMARY/NO EDUCATION,social sciences,RETIRED,,100.0,MARRIED,,,,,MIXED,13.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,,NO,,NO,NO,NO,,NO,,,NONE,174.0,74.0
FEMALE,28,"URBAN 100,000-200,000",Mazowieckie,SECONDARY,no specialisation,PUPIL OR STUDENT,,1584.0,SINGLE,7.0,,,,PLEASED,1.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,7.0,NO,,NO,NO,,,NO,,,PASSIVE,167.0,106.0
FEMALE,68,"URBAN BELOW 20,000",Pomorskie,SECONDARY,no specialisation,OTHER ECONOMICALLY INACTIVE,0.0,4979.0,MARRIED,6.0,,,,MOSTLY SATISFIED,15.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,9.0,NO,,NO,NO,NO,,NO,,,NONE,169.0,67.0
FEMALE,26,"URBAN 20,000-100,000",Zachodnio-pomorskie,SECONDARY,services for the population and transport services,PUPIL OR STUDENT,0.0,,SINGLE,7.0,2002.0,,,PLEASED,3.0,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,0.0,NO,16.0,NO,NO,,,NO,,,ACTIVE,186.0,79.0
MALE,69,"URBAN 100,000-200,000",Wielkopolskie,SECONDARY,services for the population and transport services,EMPLOYED IN PRIVATE SECTOR,7.0,,SINGLE,10.0,1962.0,,,PLEASED,0.0,IT`S DIFFICULT TO TELL,YES,YES,YES,0.0,NO,,NO,NO,NO,14.0,NO,,,NONE,168.0,70.0
MALE,60,RURAL AREAS,Pomorskie,POST-SECONDARY OR HIGHER,technical science,RETIRED,23.0,1346.0,MARRIED,5.0,1949.0,,,PLEASED,9.0,IT`S DIFFICULT TO TELL,YES,NO,YES,18.0,NO,,NO,NO,NO,,NO,,,NONE,167.0,82.0
FEMALE,81,RURAL AREAS,Warminsko-mazurskie,PRIMARY/NO EDUCATION,pedagogics,UNEMPLOYED,0.0,930.0,WIDOWED,,1984.0,,,MOSTLY SATISFIED,14.0,IT`S DIFFICULT TO TELL,YES,YES,YES,9.0,NO,,NO,NO,NO,,NO,,,NONE,165.0,70.0
MALE,56,RURAL AREAS,Wielkopolskie,SECONDARY,no specialisation,LONG-TERM SICK/DISABLED,1.0,1715.0,WIDOWED,,1950.0,,,MOSTLY SATISFIED,9.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,,NO,NO,NO,,NO,,,NONE,173.0,84.0
FEMALE,68,"URBAN 20,000-100,000",Lubuskie,SECONDARY,no specialisation,UNEMPLOYED,0.0,1578.0,SINGLE,7.0,,,,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,0.0,NO,16.0,YES,NO,NO,14.0,NO,,GREAT BRITAIN,NONE,174.0,62.0
FEMALE,17,RURAL AREAS,Podlaskie,SECONDARY,social sciences,UNEMPLOYED,0.0,1662.0,SINGLE,7.0,1982.0,,,PLEASED,1.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,9.0,NO,20.0,NO,NO,NO,,NO,,NETHERLANDS,ACTIVE,176.0,84.0
FEMALE,40,RURAL AREAS,Lubelskie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,0.0,1577.0,SINGLE,7.0,1982.0,7.0,,PLEASED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,11.0,NO,16.0,NO,NO,NO,,NO,,,ACTIVE,166.0,77.0
FEMALE,69,RURAL AREAS,Lodzkie,PRIMARY/NO EDUCATION,pedagogics,RETIRED,0.0,2304.0,MARRIED,,1982.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,0.0,NO,,NO,NO,NO,,NO,,,NONE,177.0,81.0
FEMALE,53,RURAL AREAS,Warminsko-mazurskie,SECONDARY,no specialisation,LONG-TERM SICK/DISABLED,0.0,683.0,SINGLE,8.0,2011.0,,,PLEASED,12.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,3.0,YES,,NO,NO,NO,,NO,,,NONE,165.0,71.0
FEMALE,72,RURAL AREAS,Malopolskie,VOCATIONAL/GRAMMAR,no specialisation,RETIRED,0.0,,WIDOWED,6.0,1983.0,,,PLEASED,3.0,ONE CAN`T BE TOO CAREFUL,YES,,YES,0.0,NO,,YES,NO,NO,,NO,,,NONE,173.0,88.0
FEMALE,86,RURAL AREAS,Podlaskie,VOCATIONAL/GRAMMAR,no specialisation,EMPLOYED IN PRIVATE SECTOR,0.0,417.0,MARRIED,12.0,1967.0,,,MIXED,9.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10.0,NO,,NO,NO,NO,,NO,,,NONE,170.0,70.0
FEMALE,29,RURAL AREAS,Dolnoslaskie,SECONDARY,no specialisation,UNEMPLOYED,0.0,,MARRIED,10.0,,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO,,1.0,NO,,NO,NO,NO,,NO,,,NONE,189.0,78.0
FEMALE,64,"URBAN 500,000 AND OVER",Lubelskie,PRIMARY/NO EDUCATION,no specialisation,EMPLOYED IN PUBLIC SECTOR,0.0,3178.0,SINGLE,,,7.0,,MOSTLY SATISFIED,5.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,0.0,NO,,NO,NO,NO,,NO,IT DEPENDS,,NONE,166.0,79.0
FEMALE,70,RURAL AREAS,Swietokrzyskie,SECONDARY,no specialisation,UNEMPLOYED,0.0,,WIDOWED,9.0,2004.0,,,PLEASED,4.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,0.0,NO,,NO,NO,NO,,NO,,,NONE,172.0,78.0
FEMALE,50,RURAL AREAS,Lodzkie,POST-SECONDARY OR HIGHER,services for the population and transport services,OTHER ECONOMICALLY INACTIVE,19.0,,MARRIED,10.0,1994.0,,,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,0.0,NO,16.0,NO,NO,YES,,NO,,,NONE,169.0,71.0
MALE,20,RURAL AREAS,Malopolskie,SECONDARY,no specialisation,PUPIL OR STUDENT,7.0,1530.0,SINGLE,7.0,1982.0,,,PLEASED,1.0,IT`S DIFFICULT TO TELL,YES,NO,NO,11.0,YES,,NO,NO,,,NO,,,PASSIVE,158.0,98.0
