sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,22,RURAL AREAS,Swietokrzyskie,VOCATIONAL/GRAMMAR,computer science,PUPIL OR STUDENT,6.0,,SINGLE,7.0,1981.0,,,PLEASED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO,,2.0,NO,,YES,NO,,,"YES, TO EU COUNTRY",,NORWAY,PASSIVE,170.0,70.0
FEMALE,19,RURAL AREAS,Mazowieckie,SECONDARY,no specialisation,OTHER ECONOMICALLY INACTIVE,2.0,,SINGLE,7.0,1981.0,,,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,2.0,NO,,NO,NO,,,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,ACTIVE,178.0,63.0
FEMALE,45,"URBAN 20,000-100,000",Lubuskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",EMPLOYED IN PRIVATE SECTOR,0.0,2077.0,DIVORCED,8.0,1992.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,,NO,YES,1.0,YES,,NO,NO,NO,,NO,,,ACTIVE,165.0,72.0
FEMALE,56,RURAL AREAS,Lodzkie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,6.0,,MARRIED,11.0,1974.0,,1998.0,MOSTLY DISSATISFIED,9.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,10.0,NO,,NO,NO,NO,,NO,,,NONE,159.0,87.0
MALE,25,RURAL AREAS,Podkarpackie,VOCATIONAL/GRAMMAR,no specialisation,EMPLOYED IN PRIVATE SECTOR,,1044.0,SINGLE,7.0,1982.0,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,NO,16.0,YES,NO,NO,,"YES, TO NON-EU COUNTRY",LESS THAN 1 YEAR,GERMANY,ACTIVE,182.0,84.0
FEMALE,78,"URBAN 100,000-200,000",Kujawsko-pomorskie,SECONDARY,no specialisation,RETIRED,6.0,,WIDOWED,,1966.0,,2006.0,MIXED,7.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,14.0,NO,,NO,NO,NO,,NO,,,NONE,164.0,71.0
FEMALE,23,"URBAN 100,000-200,000",Pomorskie,SECONDARY,no specialisation,UNEMPLOYED,,,SINGLE,7.0,1982.0,,1998.0,MIXED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,10.0,YES,,NO,NO,YES,,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,ACTIVE,176.0,66.0
FEMALE,74,RURAL AREAS,Slaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0.0,,WIDOWED,,1952.0,,,DELIGHTED,13.0,IT`S DIFFICULT TO TELL,YES,YES,YES,1.0,NO,16.0,NO,NO,NO,,NO,,,NONE,172.0,69.0
FEMALE,20,RURAL AREAS,Podkarpackie,PRIMARY/NO EDUCATION,no specialisation,EMPLOYED IN PUBLIC SECTOR,0.0,989.0,SINGLE,,1981.0,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,0.0,NO,,NO,NO,,,NO,,,PASSIVE,171.0,78.0
MALE,82,RURAL AREAS,Kujawsko-pomorskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,25.0,921.0,MARRIED,11.0,1974.0,,,MIXED,10.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,6.0,NO,,NO,YES,NO,,NO,,,NONE,169.0,69.0
MALE,35,RURAL AREAS,Zachodnio-pomorskie,SECONDARY,biological sciences,EMPLOYED IN PRIVATE SECTOR,6.0,,SINGLE,7.0,2002.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,6.0,NO,3.0,NO,NO,NO,,NO,,,PASSIVE,176.0,59.0
FEMALE,25,"URBAN 20,000-100,000",Slaskie,POST-SECONDARY OR HIGHER,production and processing,EMPLOYED IN PRIVATE SECTOR,0.0,4215.0,MARRIED,6.0,1999.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,2.0,YES,,NO,NO,YES,,NO,,,PASSIVE,165.0,63.0
FEMALE,27,RURAL AREAS,Mazowieckie,POST-SECONDARY OR HIGHER,social welfare,EMPLOYED IN PUBLIC SECTOR,,1020.0,MARRIED,2.0,2000.0,,,PLEASED,14.0,ONE CAN`T BE TOO CAREFUL,NO,NO,YES,3.0,YES,,NO,NO,NO,,NO,LESS THAN 1 YEAR,,PASSIVE,165.0,62.0
FEMALE,79,RURAL AREAS,Malopolskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0.0,691.0,WIDOWED,9.0,1952.0,,,MOSTLY SATISFIED,13.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,,NO,NO,NO,,NO,,,NONE,169.0,57.0
FEMALE,74,RURAL AREAS,Swietokrzyskie,PRIMARY/NO EDUCATION,no specialisation,LONG-TERM SICK/DISABLED,,1129.0,WIDOWED,8.0,1951.0,,,PLEASED,18.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6.0,YES,,NO,NO,NO,,NO,,,NONE,169.0,70.0
FEMALE,43,"URBAN 500,000 AND OVER",Swietokrzyskie,POST-SECONDARY OR HIGHER,production and processing,SELF-EMPLOYED,6.0,,MARRIED,9.0,2000.0,,,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,2.0,NO,,NO,NO,NO,,NO,,,PASSIVE,164.0,53.0
FEMALE,78,RURAL AREAS,Lubelskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,6.0,491.0,WIDOWED,10.0,,,,MIXED,5.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,,NO,NO,NO,,NO,,,NONE,164.0,75.0
FEMALE,32,"URBAN 200,000-500,000",Slaskie,SECONDARY,no specialisation,UNEMPLOYED,0.0,1842.0,SINGLE,7.0,1981.0,,1998.0,MIXED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,5.0,NO,,NO,NO,NO,,"YES, TO NON-EU COUNTRY",IT DEPENDS,NORWAY,ACTIVE,166.0,63.0
FEMALE,81,"URBAN BELOW 20,000",Pomorskie,SECONDARY,social sciences,RETIRED,0.0,1421.0,WIDOWED,6.0,,9.0,,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,10.0,NO,,NO,NO,NO,,NO,,,NONE,164.0,60.0
MALE,37,"URBAN 20,000-100,000",Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,no specialisation,FARMER,24.0,1640.0,MARRIED,11.0,,,,MOSTLY DISSATISFIED,7.0,IT`S DIFFICULT TO TELL,YES,YES,NO,2.0,YES,,YES,YES,NO,,NO,,,NONE,174.0,79.0
FEMALE,23,"URBAN 20,000-100,000",Lubuskie,SECONDARY,production and processing,UNEMPLOYED,0.0,,SINGLE,9.0,2008.0,,,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,1.0,YES,,NO,NO,NO,,"YES, TO EU COUNTRY",IT DEPENDS,GREAT BRITAIN,ACTIVE,165.0,56.0
FEMALE,70,RURAL AREAS,Pomorskie,VOCATIONAL/GRAMMAR,,RETIRED,,1858.0,MARRIED,1.0,,,2000.0,PLEASED,12.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6.0,NO,,NO,NO,NO,14.0,NO,,,NONE,171.0,80.0
MALE,22,RURAL AREAS,Slaskie,SECONDARY,no specialisation,SELF-EMPLOYED,24.0,1613.0,SINGLE,7.0,1981.0,,,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,3.0,NO,,NO,NO,,,"YES, TO EU COUNTRY",IT DEPENDS,,PASSIVE,160.0,79.0
FEMALE,21,"URBAN 500,000 AND OVER",Pomorskie,POST-SECONDARY OR HIGHER,architecture and construction,SELF-EMPLOYED,10.0,1628.0,SINGLE,7.0,,7.0,,DELIGHTED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,10.0,YES,20.0,NO,NO,YES,,"YES, TO NON-EU COUNTRY",LESS THAN 1 YEAR,GERMANY,PASSIVE,178.0,54.0
FEMALE,55,"URBAN 500,000 AND OVER",Podlaskie,VOCATIONAL/GRAMMAR,technical science,RETIRED,,1636.0,MARRIED,,,,,PLEASED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,,NO,,NO,NO,NO,,NO,,,NONE,181.0,105.0
MALE,16,RURAL AREAS,Podkarpackie,VOCATIONAL/GRAMMAR,computer science,PUPIL OR STUDENT,,1556.0,SINGLE,7.0,,,,DELIGHTED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,11.0,NO,,NO,NO,NO,,NO,,,NONE,180.0,84.0
MALE,19,"URBAN 500,000 AND OVER",Slaskie,POST-SECONDARY OR HIGHER,no specialisation,OTHER ECONOMICALLY INACTIVE,6.0,1284.0,SINGLE,7.0,,,,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,12.0,NO,,NO,NO,NO,,NO,,,PASSIVE,175.0,80.0
FEMALE,37,"URBAN BELOW 20,000",Mazowieckie,VOCATIONAL/GRAMMAR,services for the population and transport services,RETIRED,6.0,,SINGLE,6.0,2000.0,,,MIXED,3.0,ONE CAN`T BE TOO CAREFUL,NO,NO,NO,30.0,NO,16.0,YES,NO,NO,,NO,,,NONE,176.0,59.0
FEMALE,40,RURAL AREAS,Slaskie,SECONDARY,services for the population and transport services,UNEMPLOYED,0.0,,WIDOWED,6.0,1972.0,,,MIXED,1.0,MOST PEOPLE CAN BE TRUSTED,NO,NO,YES,0.0,YES,,NO,NO,NO,14.0,NO,,,PASSIVE,158.0,79.0
MALE,32,RURAL AREAS,Pomorskie,VOCATIONAL/GRAMMAR,technical science,SELF-EMPLOYED,0.0,1954.0,MARRIED,2.0,1982.0,,,PLEASED,4.0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,YES,2.0,NO,,NO,NO,NO,,NO,,,NONE,175.0,89.0
