sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,23,RURAL AREAS,Swietokrzyskie,SECONDARY,social sciences,PUPIL OR STUDENT,6.0,,SINGLE,7.0,1982.0,,,PLEASED,2.0,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,13.0,NO,,YES,NO,NO,,"YES, TO EU COUNTRY",MORE THAN 2 YEARS,NORWAY,ACTIVE,170.0,65.0
MALE,18,RURAL AREAS,Mazowieckie,SECONDARY,social sciences,UNEMPLOYED,0.0,,SINGLE,7.0,1982.0,,,PLEASED,0.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,3.0,NO,,NO,NO,,,"YES, TO EU COUNTRY",FOREVER,GERMANY,ACTIVE,177.0,45.0
MALE,26,RURAL AREAS,Lubuskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",SELF-EMPLOYED,0.0,2108.0,MARRIED,8.0,1992.0,,,MIXED,0.0,IT`S DIFFICULT TO TELL,,YES,YES,1.0,YES,,NO,NO,NO,,NO,,,NONE,169.0,72.0
MALE,48,RURAL AREAS,Lodzkie,SECONDARY,no specialisation,RETIRED,17.0,,WIDOWED,11.0,1986.0,,1998.0,MOSTLY DISSATISFIED,10.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,35.0,NO,,NO,NO,NO,,NO,,,NONE,160.0,84.0
FEMALE,66,RURAL AREAS,Lodzkie,VOCATIONAL/GRAMMAR,healthcare,RETIRED,,460.0,MARRIED,7.0,1986.0,,,MOSTLY DISSATISFIED,4.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,3.0,NO,16.0,NO,NO,NO,,NO,,,NONE,191.0,50.0
MALE,51,RURAL AREAS,Kujawsko-pomorskie,SECONDARY,no specialisation,RETIRED,6.0,,MARRIED,,1977.0,,2010.0,MIXED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,14.0,NO,,NO,NO,NO,,NO,,,NONE,158.0,68.0
FEMALE,59,"URBAN 200,000-500,000",Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",RETIRED,,,MARRIED,8.0,1980.0,,1998.0,PLEASED,2.0,MOST PEOPLE CAN BE TRUSTED,YES,NO OPINION,NO,10.0,YES,,NO,NO,NO,,"YES, TO EU COUNTRY",,,NONE,162.0,54.0
MALE,48,RURAL AREAS,Slaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24.0,,DIVORCED,,1966.0,,,MOSTLY SATISFIED,7.0,IT`S DIFFICULT TO TELL,YES,YES,YES,4.0,YES,16.0,NO,NO,NO,,NO,,,NONE,160.0,37.0
FEMALE,32,"URBAN 500,000 AND OVER",Podkarpackie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,3.0,1829.0,SINGLE,,1982.0,,,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,5.0,NO,,NO,NO,NO,,NO,IT DEPENDS,,PASSIVE,179.0,92.0
FEMALE,76,RURAL AREAS,Kujawsko-pomorskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,26.0,420.0,MARRIED,11.0,1937.0,,,MOSTLY DISSATISFIED,10.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,7.0,NO,,NO,NO,NO,,NO,,,NONE,169.0,67.0
