sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,70,RURAL AREAS,Swietokrzyskie,SECONDARY,technical science,PUPIL OR STUDENT,26.0,,SINGLE,7.0,1966.0,,,PLEASED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,1.0,NO,,YES,NO,NO,,"YES, TO EU COUNTRY",,,NONE,163.0,82.0
MALE,29,RURAL AREAS,Dolnoslaskie,VOCATIONAL/GRAMMAR,liberal arts,RETIRED,24.0,,MARRIED,10.0,1953.0,,,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,0.0,NO,,NO,NO,,,NO,FOREVER,USA,ACTIVE,166.0,40.0
MALE,24,"URBAN 500,000 AND OVER",Lubelskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",SELF-EMPLOYED,0.0,2101.0,MARRIED,8.0,1975.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,,YES,YES,9.0,NO,,NO,NO,NO,,NO,,,ACTIVE,162.0,77.0
FEMALE,36,RURAL AREAS,Lodzkie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,16.0,,SINGLE,7.0,1963.0,,1998.0,MOSTLY DISSATISFIED,5.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,10.0,YES,,NO,NO,NO,,NO,,,NONE,162.0,81.0
MALE,36,RURAL AREAS,Lodzkie,VOCATIONAL/GRAMMAR,economy and administration,FARMER,,1735.0,MARRIED,7.0,2002.0,,,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,0.0,NO,16.0,NO,NO,NO,,NO,,SWEDEN,NONE,164.0,78.0
MALE,81,RURAL AREAS,Kujawsko-pomorskie,POST-SECONDARY OR HIGHER,no specialisation,LONG-TERM SICK/DISABLED,6.0,,MARRIED,,1980.0,,1998.0,MOSTLY SATISFIED,4.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,13.0,NO,,NO,NO,NO,,NO,,,NONE,167.0,54.0
MALE,57,RURAL AREAS,Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,services for the population and transport services,RETIRED,,,MARRIED,7.0,2003.0,,1998.0,MIXED,1.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,8.0,YES,,NO,NO,NO,,"YES, TO EU COUNTRY",IT DEPENDS,,NONE,164.0,51.0
MALE,78,"URBAN 200,000-500,000",Slaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0.0,,MARRIED,,1956.0,,,DELIGHTED,6.0,IT`S DIFFICULT TO TELL,YES,YES,YES,1.0,YES,16.0,NO,NO,,,NO,,,PASSIVE,175.0,51.0
FEMALE,57,"URBAN 20,000-100,000",Podkarpackie,PRIMARY/NO EDUCATION,no specialisation,EMPLOYED IN PUBLIC SECTOR,0.0,1904.0,SINGLE,,1973.0,,,PLEASED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,0.0,NO,,NO,NO,NO,,NO,IT DEPENDS,,PASSIVE,160.0,56.0
MALE,61,RURAL AREAS,Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,technical science,RETIRED,6.0,2046.0,MARRIED,7.0,1982.0,,,MIXED,7.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,14.0,NO,,NO,YES,,,NO,,,NONE,161.0,41.0
MALE,57,"URBAN 500,000 AND OVER",Swietokrzyskie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,7.0,,SINGLE,7.0,1988.0,,,MOSTLY SATISFIED,11.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,0.0,NO,16.0,NO,NO,NO,,NO,,,PASSIVE,171.0,43.0
MALE,49,"URBAN 20,000-100,000",Slaskie,VOCATIONAL/GRAMMAR,no specialisation,RETIRED,6.0,4755.0,SINGLE,7.0,1961.0,,,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,NO,6.0,NO,,NO,NO,NO,,NO,,,PASSIVE,181.0,62.0
MALE,47,RURAL AREAS,Slaskie,SECONDARY,social welfare,RETIRED,,847.0,MARRIED,7.0,1976.0,,,MIXED,4.0,ONE CAN`T BE TOO CAREFUL,NO,YES,NO,4.0,NO,,NO,NO,NO,,NO,,,PASSIVE,166.0,44.0
MALE,80,RURAL AREAS,Malopolskie,PRIMARY/NO EDUCATION,no specialisation,LONG-TERM SICK/DISABLED,0.0,1066.0,MARRIED,9.0,1999.0,,,MOSTLY SATISFIED,5.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,0.0,YES,,NO,NO,NO,,"YES, TO EU COUNTRY",,,NONE,172.0,40.0
MALE,70,RURAL AREAS,Wielkopolskie,PRIMARY/NO EDUCATION,technical science,LONG-TERM SICK/DISABLED,,547.0,MARRIED,8.0,2008.0,,,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6.0,YES,,NO,NO,NO,,NO,FOREVER,,NONE,191.0,52.0
