sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,26,RURAL AREAS,Swietokrzyskie,SECONDARY,protection and safety,PUPIL OR STUDENT,24.0,,DE FACTO SEPARATED,5.0,1979.0,,,PLEASED,2.0,,YES,NO,,4.0,NO,,YES,NO,NO,,"YES, TO EU COUNTRY",MORE THAN 2 YEARS,NORWAY,NONE,168.0,88.0
MALE,16,"URBAN 100,000-200,000",Dolnoslaskie,SECONDARY,liberal arts,RETIRED,24.0,,,10.0,1973.0,,,UNHAPPY,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,3.0,NO,,,NO,,,NO,FOREVER,USA,ACTIVE,164.0,45.0
MALE,21,"URBAN 500,000 AND OVER",Lubelskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",SELF-EMPLOYED,0.0,1905.0,SINGLE,8.0,1959.0,,,PLEASED,0.0,,,YES,,21.0,NO,,NO,NO,NO,,,,GREAT BRITAIN,ACTIVE,157.0,78.0
MALE,42,"URBAN 200,000-500,000",Podlaskie,POST-SECONDARY OR HIGHER,architecture and construction,PUPIL OR STUDENT,22.0,,SINGLE,11.0,1995.0,,1996.0,MOSTLY DISSATISFIED,9.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,15.0,YES,,NO,YES,NO,,,,AUSTRIA,NONE,165.0,86.0
FEMALE,81,RURAL AREAS,Lodzkie,VOCATIONAL/GRAMMAR,economy and administration,FARMER,,375.0,MARRIED,7.0,1970.0,,,MOSTLY SATISFIED,5.0,MOST PEOPLE CAN BE TRUSTED,,YES,YES,1.0,NO,15.0,NO,NO,NO,,NO,,SWEDEN,NONE,176.0,79.0
MALE,84,"URBAN 100,000-200,000",Kujawsko-pomorskie,POST-SECONDARY OR HIGHER,public health,LONG-TERM SICK/DISABLED,6.0,,MARRIED,,1975.0,,2010.0,MIXED,3.0,IT`S DIFFICULT TO TELL,YES,YES,NO,13.0,NO,,,NO,YES,,NO,,OTHER COUNTRIES,ACTIVE,165.0,85.0
FEMALE,63,"URBAN 200,000-500,000",Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,art,RETIRED,,,MARRIED,9.0,1969.0,,1995.0,MOSTLY DISSATISFIED,2.0,MOST PEOPLE CAN BE TRUSTED,,,NO,9.0,YES,,NO,NO,YES,,NO,IT DEPENDS,AUSTRIA,,172.0,56.0
MALE,71,"URBAN 200,000-500,000",Slaskie,SECONDARY,no specialisation,RETIRED,0.0,,DIVORCED,,1958.0,,,DELIGHTED,3.0,,YES,YES,YES,57.0,YES,16.0,NO,,,,NO,MORE THAN 2 YEARS,IRELAND,PASSIVE,194.0,80.0
FEMALE,48,"URBAN 500,000 AND OVER",Podkarpackie,PRIMARY/NO EDUCATION,journalism and information,EMPLOYED IN PUBLIC SECTOR,3.0,2253.0,MARRIED,,1988.0,,,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,NO,,NO,YES,NO,,NO,IT DEPENDS,SPAIN,,177.0,109.0
MALE,49,RURAL AREAS,Kujawsko-pomorskie,PRIMARY/NO EDUCATION,technical science,RETIRED,6.0,2115.0,MARRIED,7.0,1982.0,,,MIXED,5.0,ONE CAN`T BE TOO CAREFUL,,YES,NO,29.0,NO,,,YES,,,"YES, TO EU COUNTRY",LESS THAN 1 TO 2 YEARS,SWEDEN,NONE,162.0,69.0
MALE,35,"URBAN 500,000 AND OVER",Swietokrzyskie,SECONDARY,lack of data,EMPLOYED IN PRIVATE SECTOR,6.0,,SINGLE,12.0,2009.0,,,DELIGHTED,4.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,,6.0,NO,15.0,,NO,YES,,NO,FOREVER,GREAT BRITAIN,PASSIVE,172.0,46.0
MALE,47,"URBAN 20,000-100,000",Slaskie,VOCATIONAL/GRAMMAR,production and processing,,12.0,3195.0,,4.0,1970.0,,,MOSTLY SATISFIED,5.0,,NO OPINION,NO OPINION,NO,16.0,NO,,NO,NO,,,,,NETHERLANDS,,165.0,60.0
MALE,42,"URBAN 20,000-100,000",Slaskie,PRIMARY/NO EDUCATION,social welfare,EMPLOYED IN PUBLIC SECTOR,,251.0,WIDOWED,7.0,1972.0,,,MIXED,12.0,ONE CAN`T BE TOO CAREFUL,NO,NO,YES,13.0,NO,,,NO,NO,,NO,LESS THAN 1 YEAR,NETHERLANDS,PASSIVE,163.0,52.0
MALE,87,RURAL AREAS,Malopolskie,PRIMARY/NO EDUCATION,"agriculture, forestry, fishing",LONG-TERM SICK/DISABLED,0.0,481.0,MARRIED,9.0,1947.0,,,UNHAPPY,3.0,MOST PEOPLE CAN BE TRUSTED,NO,NO,,2.0,NO,,YES,NO,NO,,"YES, TO EU COUNTRY",MORE THAN 2 YEARS,ITALY,PASSIVE,169.0,64.0
FEMALE,56,RURAL AREAS,Wielkopolskie,,architecture and construction,LONG-TERM SICK/DISABLED,,982.0,MARRIED,9.0,2000.0,,,,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,4.0,YES,,YES,NO,,,"YES, TO NON-EU COUNTRY",FOREVER,CANADA,ACTIVE,167.0,74.0
MALE,16,"URBAN 100,000-200,000",Swietokrzyskie,POST-SECONDARY OR HIGHER,law,FARMER,6.0,,MARRIED,9.0,1974.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,10.0,NO,,NO,NO,NO,,NO,LESS THAN 1 TO 2 YEARS,GREAT BRITAIN,,161.0,59.0
FEMALE,25,"URBAN 20,000-100,000",Lubelskie,SECONDARY,physical sciences,,0.0,11068.0,SINGLE,7.0,,,,,7.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,39.0,NO,,NO,NO,NO,,"YES, TO EU COUNTRY",MORE THAN 2 YEARS,ITALY,ACTIVE,168.0,75.0
MALE,63,"URBAN 200,000-500,000",Wielkopolskie,SECONDARY,no specialisation,LONG-TERM SICK/DISABLED,15.0,2023.0,WIDOWED,10.0,1959.0,,1996.0,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,,YES,YES,3.0,NO,,NO,NO,,,,IT DEPENDS,NORWAY,NONE,164.0,82.0
MALE,24,"URBAN BELOW 20,000",Pomorskie,,social sciences,EMPLOYED IN PRIVATE SECTOR,6.0,1481.0,,6.0,,12.0,,UNHAPPY,3.0,MOST PEOPLE CAN BE TRUSTED,,YES,YES,10.0,NO,,YES,NO,NO,,,MORE THAN 2 YEARS,,ACTIVE,167.0,72.0
FEMALE,64,"URBAN 20,000-100,000",Lubelskie,SECONDARY,mathematics and statistics,EMPLOYED IN PRIVATE SECTOR,9.0,1691.0,SINGLE,7.0,,,,MOSTLY DISSATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,,NO,5.0,,,NO,,,,,IT DEPENDS,OTHER EU COUNTRIES,NONE,172.0,82.0
