sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,40,"URBAN 200,000-500,000",Mazowieckie,SECONDARY,technical science,RETIRED,24.0,1566.0,MARRIED,6.0,1961.0,12.0,1990.0,PLEASED,1.0,IT`S DIFFICULT TO TELL,YES,NO,YES,5.0,NO,15.0,NO,NO,NO,18.0,NO,FOREVER,DENMARK,NONE,159.0,60.0
MALE,35,RURAL AREAS,Slaskie,POST-SECONDARY OR HIGHER,no specialisation,OTHER ECONOMICALLY INACTIVE,0.0,1498.0,DE FACTO SEPARATED,2.0,1965.0,11.0,1996.0,MIXED,6.0,IT`S DIFFICULT TO TELL,YES,NO,YES,15.0,YES,20.0,NO,NO,NO,12.0,NO,LESS THAN 1 YEAR,CANADA,NONE,165.0,80.0
MALE,20,RURAL AREAS,Podlaskie,VOCATIONAL/GRAMMAR,technical science,EMPLOYED IN PRIVATE SECTOR,0.0,1229.0,SINGLE,12.0,1974.0,6.0,2002.0,PLEASED,2.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NO,5.0,NO,10.0,NO,NO,NO,12.0,NO,IT DEPENDS,NETHERLANDS,NONE,176.0,68.0
FEMALE,38,RURAL AREAS,Mazowieckie,SECONDARY,social sciences,RETIRED,0.0,306.0,MARRIED,9.0,1995.0,6.0,1998.0,MOSTLY SATISFIED,5.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2.0,NO,20.0,NO,NO,NO,3.0,NO,LESS THAN 1 YEAR,IRELAND,PASSIVE,171.0,70.0
FEMALE,31,RURAL AREAS,Wielkopolskie,VOCATIONAL/GRAMMAR,technical science,OTHER ECONOMICALLY INACTIVE,0.0,1301.0,MARRIED,9.0,1968.0,7.0,1997.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5.0,NO,10.0,NO,NO,NO,10.0,NO,IT DEPENDS,GERMANY,NONE,159.0,63.0
MALE,62,"URBAN BELOW 20,000",Slaskie,VOCATIONAL/GRAMMAR,technical science,SELF-EMPLOYED,10.0,422.0,SINGLE,4.0,1974.0,12.0,2007.0,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,9.0,NO,20.0,NO,NO,NO,24.0,NO,IT DEPENDS,GERMANY,PASSIVE,172.0,70.0
FEMALE,23,"URBAN 100,000-200,000",Wielkopolskie,VOCATIONAL/GRAMMAR,healthcare,UNEMPLOYED,24.0,1518.0,MARRIED,10.0,1995.0,4.0,2000.0,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,3.0,NO,10.0,NO,NO,NO,36.0,NO,IT DEPENDS,GERMANY,NONE,165.0,70.0
MALE,25,RURAL AREAS,Swietokrzyskie,VOCATIONAL/GRAMMAR,pedagogics,RETIRED,0.0,1136.0,MARRIED,8.0,1994.0,10.0,2006.0,MIXED,0.0,MOST PEOPLE CAN BE TRUSTED,YES,NO,NO,1.0,NO,10.0,NO,NO,NO,16.0,NO,LESS THAN 1 YEAR,ITALY,NONE,155.0,65.0
MALE,34,RURAL AREAS,Lodzkie,SECONDARY,"agriculture, forestry, fishing",EMPLOYED IN PUBLIC SECTOR,10.0,2864.0,MARRIED,7.0,2000.0,12.0,2006.0,MIXED,9.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,2.0,YES,20.0,NO,NO,NO,5.0,NO,IT DEPENDS,ITALY,PASSIVE,158.0,85.0
FEMALE,35,"URBAN 500,000 AND OVER",Lubelskie,POST-SECONDARY OR HIGHER,services for the population and transport services,PUPIL OR STUDENT,24.0,564.0,MARRIED,3.0,1977.0,6.0,2010.0,MOSTLY SATISFIED,10.0,ONE CAN`T BE TOO CAREFUL,NO,YES,YES,10.0,NO,20.0,NO,NO,NO,3.0,NO,IT DEPENDS,SWEDEN,NONE,176.0,83.0
MALE,68,"URBAN 20,000-100,000",Kujawsko-pomorskie,VOCATIONAL/GRAMMAR,not applicable,LONG-TERM SICK/DISABLED,0.0,1617.0,SINGLE,6.0,1965.0,9.0,1983.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,20.0,NO,20.0,NO,NO,NO,36.0,NO,IT DEPENDS,FRANCE,NONE,175.0,72.0
FEMALE,63,RURAL AREAS,Mazowieckie,VOCATIONAL/GRAMMAR,economy and administration,EMPLOYED IN PUBLIC SECTOR,24.0,501.0,MARRIED,6.0,1968.0,2.0,2009.0,PLEASED,8.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,10.0,YES,15.0,NO,NO,NO,6.0,NO,IT DEPENDS,BELGIUM,NONE,165.0,84.0
MALE,53,"URBAN 200,000-500,000",Opolskie,VOCATIONAL/GRAMMAR,services for the population and transport services,OTHER ECONOMICALLY INACTIVE,0.0,1119.0,MARRIED,1.0,1960.0,6.0,1992.0,PLEASED,5.0,IT`S DIFFICULT TO TELL,YES,NO,NO,10.0,NO,30.0,NO,NO,NO,27.0,NO,FOREVER,GERMANY,NONE,158.0,55.0
MALE,35,RURAL AREAS,Zachodnio-pomorskie,POST-SECONDARY OR HIGHER,no specialisation,LONG-TERM SICK/DISABLED,24.0,2291.0,MARRIED,12.0,1983.0,6.0,2000.0,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,2.0,YES,20.0,NO,NO,NO,3.0,NO,LESS THAN 1 YEAR,GERMANY,NONE,178.0,69.0
FEMALE,36,"URBAN BELOW 20,000",Wielkopolskie,POST-SECONDARY OR HIGHER,biological sciences,PUPIL OR STUDENT,0.0,1387.0,MARRIED,12.0,1944.0,5.0,2002.0,MOSTLY DISSATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,6.0,NO,20.0,NO,NO,NO,24.0,NO,LESS THAN 1 YEAR,GERMANY,ACTIVE,176.0,70.0
