sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,44.0,"URBAN 100,000-200,000",Dolnoslaskie,PRIMARY/NO EDUCATION,technical science,RETIRED,0.0,315.0,SINGLE,10.0,1977.0,6.0,1996.0,DELIGHTED,1.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,1.0,NO,20.0,NO,NO,NO,39.0,NO,,ITALY,NONE,160.0,72.0
MALE,60.0,"URBAN BELOW 20,000",Dolnoslaskie,PRIMARY/NO EDUCATION,technical science,OTHER ECONOMICALLY INACTIVE,0.0,375.0,MARRIED,5.0,1954.0,1.0,1992.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,2.0,NO,10.0,NO,NO,NO,14.0,NO,,GERMANY,NONE,180.0,82.0
FEMALE,54.0,RURAL AREAS,Lodzkie,SECONDARY,no specialisation,RETIRED,7.0,1627.0,MARRIED,1.0,2006.0,10.0,2000.0,MOSTLY DISSATISFIED,17.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,3.0,NO,10.0,NO,NO,NO,1.0,NO,,GERMANY,NONE,152.0,62.0
FEMALE,45.0,RURAL AREAS,Malopolskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,0.0,2260.0,SINGLE,4.0,1974.0,8.0,1983.0,PLEASED,7.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,7.0,NO,5.0,NO,NO,NO,15.0,NO,,BELGIUM,NONE,160.0,84.0
FEMALE,79.0,"URBAN 200,000-500,000",Pomorskie,PRIMARY/NO EDUCATION,pedagogics,UNEMPLOYED,10.0,219.0,MARRIED,9.0,2006.0,1.0,1993.0,DELIGHTED,7.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,15.0,NO,2.0,NO,NO,NO,7.0,NO,,AUSTRIA,ACTIVE,168.0,68.0
MALE,62.0,"URBAN 20,000-100,000",Warminsko-mazurskie,VOCATIONAL/GRAMMAR,technical science,SELF-EMPLOYED,24.0,1522.0,WIDOWED,9.0,1991.0,10.0,1981.0,MIXED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,6.0,YES,5.0,NO,NO,NO,37.0,NO,,USA,NONE,169.0,79.0
FEMALE,80.0,"URBAN 200,000-500,000",Opolskie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,0.0,1844.0,WIDOWED,11.0,2004.0,5.0,2000.0,PLEASED,8.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,9.0,YES,20.0,NO,NO,NO,0.0,NO,,GERMANY,NONE,171.0,62.0
FEMALE,62.0,"URBAN 500,000 AND OVER",Lubelskie,VOCATIONAL/GRAMMAR,social sciences,PUPIL OR STUDENT,0.0,1853.0,SINGLE,8.0,1997.0,6.0,1992.0,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,YES,11.0,NO,20.0,NO,NO,NO,8.0,NO,,GERMANY,ACTIVE,170.0,63.0
FEMALE,26.0,"URBAN BELOW 20,000",Lubelskie,VOCATIONAL/GRAMMAR,technical science,EMPLOYED IN PRIVATE SECTOR,0.0,2973.0,MARRIED,9.0,1986.0,8.0,2008.0,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,6.0,NO,20.0,NO,NO,NO,24.0,NO,,GERMANY,NONE,173.0,93.0
MALE,31.0,RURAL AREAS,Pomorskie,VOCATIONAL/GRAMMAR,no specialisation,RETIRED,0.0,1061.0,MARRIED,10.0,1956.0,4.0,1990.0,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,5.0,NO,25.0,YES,NO,NO,26.0,NO,,NETHERLANDS,PASSIVE,163.0,72.0
MALE,20.0,"URBAN 200,000-500,000",Wielkopolskie,POST-SECONDARY OR HIGHER,services for the population and transport services,PUPIL OR STUDENT,24.0,403.0,MARRIED,6.0,1999.0,9.0,2004.0,PLEASED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,12.0,YES,15.0,NO,NO,NO,9.0,NO,,GREAT BRITAIN,NONE,159.0,87.0
MALE,42.0,RURAL AREAS,Wielkopolskie,VOCATIONAL/GRAMMAR,computer science,EMPLOYED IN PRIVATE SECTOR,24.0,1025.0,MARRIED,10.0,1989.0,6.0,1975.0,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,1.0,NO,12.0,NO,NO,NO,1.0,NO,,AUSTRALIA,NONE,196.0,73.0
MALE,45.0,RURAL AREAS,Dolnoslaskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24.0,648.0,MARRIED,8.0,2009.0,6.0,1992.0,PLEASED,0.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,14.0,YES,10.0,NO,NO,NO,6.0,NO,,ITALY,NONE,176.0,99.0
FEMALE,88.0,RURAL AREAS,Malopolskie,SECONDARY,no specialisation,FARMER,0.0,1384.0,MARRIED,11.0,1964.0,3.0,2006.0,PLEASED,14.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,5.0,NO,18.0,NO,NO,NO,18.0,NO,,FRANCE,NONE,196.0,79.0
MALE,75.0,RURAL AREAS,Malopolskie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,0.0,821.0,MARRIED,4.0,1958.0,6.0,1992.0,MOSTLY SATISFIED,14.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,3.0,NO,20.0,NO,NO,NO,14.0,NO,,SPAIN,NONE,158.0,72.0
FEMALE,29.0,RURAL AREAS,Slaskie,VOCATIONAL/GRAMMAR,healthcare,EMPLOYED IN PRIVATE SECTOR,0.0,176.0,SINGLE,6.0,1983.0,7.0,1986.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,12.0,NO,5.0,NO,NO,NO,1.0,NO,,GERMANY,PASSIVE,171.0,61.0
FEMALE,44.0,"URBAN BELOW 20,000",Dolnoslaskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",PUPIL OR STUDENT,0.0,2474.0,MARRIED,6.0,1976.0,4.0,1986.0,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,22.0,YES,20.0,NO,NO,NO,49.0,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,ACTIVE,169.0,70.0
FEMALE,52.0,RURAL AREAS,Zachodnio-pomorskie,VOCATIONAL/GRAMMAR,no specialisation,RETIRED,24.0,1935.0,MARRIED,8.0,2011.0,4.0,2001.0,MIXED,4.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,12.0,NO,20.0,NO,NO,NO,18.0,NO,,AUSTRALIA,NONE,165.0,67.0
FEMALE,56.0,RURAL AREAS,Lubelskie,POST-SECONDARY OR HIGHER,pedagogics,OTHER ECONOMICALLY INACTIVE,0.0,918.0,SINGLE,2.0,1990.0,2.0,2000.0,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,17.0,NO,10.0,NO,NO,NO,2.0,NO,,NETHERLANDS,NONE,166.0,67.0
MALE,32.0,"URBAN 20,000-100,000",Pomorskie,VOCATIONAL/GRAMMAR,technical science,FARMER,0.0,3558.0,MARRIED,8.0,1979.0,10.0,2004.0,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,13.0,YES,20.0,NO,NO,NO,37.0,NO,,GERMANY,NONE,185.0,50.0
MALE,33.0,RURAL AREAS,Malopolskie,SECONDARY,architecture and construction,RETIRED,1.0,3238.0,MARRIED,4.0,1967.0,4.0,2001.0,PLEASED,9.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,4.0,NO,15.0,YES,NO,NO,19.0,NO,,GERMANY,NONE,169.0,78.0
MALE,55.0,RURAL AREAS,Wielkopolskie,VOCATIONAL/GRAMMAR,no specialisation,EMPLOYED IN PRIVATE SECTOR,0.0,331.0,MARRIED,10.0,1980.0,6.0,1983.0,MOSTLY SATISFIED,8.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,YES,1.0,YES,10.0,YES,NO,NO,1.0,NO,,OTHER COUNTRIES,ACTIVE,161.0,77.0
FEMALE,40.0,"URBAN 500,000 AND OVER",Malopolskie,SECONDARY,computer science,RETIRED,24.0,2876.0,SINGLE,7.0,1978.0,4.0,1973.0,MOSTLY DISSATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,4.0,YES,20.0,NO,NO,NO,5.0,NO,,GERMANY,PASSIVE,176.0,81.0
FEMALE,59.0,"URBAN 200,000-500,000",Wielkopolskie,SECONDARY,no specialisation,EMPLOYED IN PRIVATE SECTOR,24.0,1114.0,MARRIED,9.0,1946.0,12.0,2001.0,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,7.0,NO,5.0,NO,NO,NO,27.0,NO,,NETHERLANDS,NONE,179.0,88.0
FEMALE,34.0,"URBAN 100,000-200,000",Malopolskie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,14.0,1433.0,MARRIED,11.0,1974.0,6.0,2009.0,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,9.0,NO,20.0,NO,NO,NO,13.0,NO,,GERMANY,NONE,169.0,74.0
FEMALE,29.0,"URBAN 200,000-500,000",Lubelskie,VOCATIONAL/GRAMMAR,social sciences,PUPIL OR STUDENT,0.0,2780.0,DIVORCED,10.0,1970.0,11.0,1997.0,MOSTLY SATISFIED,3.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,16.0,NO,20.0,NO,NO,NO,6.0,NO,,OTHER COUNTRIES,ACTIVE,171.0,69.0
MALE,50.0,RURAL AREAS,Mazowieckie,VOCATIONAL/GRAMMAR,not applicable,RETIRED,24.0,1630.0,WIDOWED,9.0,1976.0,12.0,2003.0,MOSTLY SATISFIED,7.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,NO,3.0,NO,6.0,NO,NO,NO,45.0,NO,,NETHERLANDS,PASSIVE,172.0,54.0
FEMALE,23.0,"URBAN 100,000-200,000",Kujawsko-pomorskie,SECONDARY,social sciences,EMPLOYED IN PRIVATE SECTOR,0.0,982.0,MARRIED,10.0,1980.0,6.0,2009.0,PLEASED,1.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,6.0,NO,10.0,NO,NO,NO,38.0,NO,,GERMANY,NONE,168.0,74.0
FEMALE,76.0,"URBAN 100,000-200,000",Malopolskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,24.0,598.0,MARRIED,9.0,1973.0,5.0,2009.0,MIXED,1.0,ONE CAN`T BE TOO CAREFUL,NO,YES,NO,24.0,NO,20.0,NO,NO,NO,1.0,NO,,FRANCE,NONE,163.0,89.0
FEMALE,32.0,"URBAN 200,000-500,000",Wielkopolskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",LONG-TERM SICK/DISABLED,0.0,2475.0,MARRIED,8.0,1959.0,6.0,1978.0,MOSTLY SATISFIED,20.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,20.0,NO,10.0,NO,NO,NO,5.0,NO,,BELGIUM,PASSIVE,168.0,52.0
MALE,46.0,RURAL AREAS,Mazowieckie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,0.0,393.0,MARRIED,8.0,1966.0,10.0,1992.0,PLEASED,1.0,IT`S DIFFICULT TO TELL,YES,NO OPINION,YES,2.0,YES,25.0,NO,NO,NO,14.0,NO,,NORWAY,ACTIVE,170.0,71.0
MALE,60.0,RURAL AREAS,Lodzkie,POST-SECONDARY OR HIGHER,social sciences,LONG-TERM SICK/DISABLED,0.0,1320.0,MARRIED,7.0,1991.0,1.0,1989.0,MIXED,14.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,1.0,YES,10.0,NO,NO,NO,2.0,NO,,GERMANY,NONE,149.0,74.0
MALE,54.0,"URBAN 200,000-500,000",Warminsko-mazurskie,VOCATIONAL/GRAMMAR,"agriculture, forestry, fishing",LONG-TERM SICK/DISABLED,0.0,1510.0,SINGLE,10.0,2011.0,6.0,2011.0,MIXED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,25.0,NO,15.0,NO,NO,NO,59.0,NO,,GREAT BRITAIN,NONE,174.0,79.0
MALE,35.0,"URBAN BELOW 20,000",Lodzkie,SECONDARY,pedagogics,RETIRED,0.0,216.0,SINGLE,10.0,1976.0,10.0,2003.0,MOSTLY SATISFIED,6.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,13.0,NO,10.0,NO,YES,NO,12.0,NO,,NORWAY,PASSIVE,189.0,69.0
FEMALE,79.0,"URBAN 20,000-100,000",Dolnoslaskie,VOCATIONAL/GRAMMAR,healthcare,PUPIL OR STUDENT,0.0,2863.0,SINGLE,6.0,1965.0,5.0,1995.0,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,6.0,YES,4.0,NO,NO,NO,2.0,"YES, TO EU COUNTRY",IT DEPENDS,GERMANY,ACTIVE,164.0,87.0
MALE,44.0,"URBAN 100,000-200,000",Lubelskie,POST-SECONDARY OR HIGHER,technical science,RETIRED,24.0,780.0,MARRIED,12.0,1973.0,7.0,1998.0,MOSTLY SATISFIED,6.0,IT`S DIFFICULT TO TELL,NO,YES,NO,2.0,NO,15.0,NO,NO,NO,8.0,NO,,NORWAY,ACTIVE,167.0,57.0
FEMALE,59.0,RURAL AREAS,Lubelskie,POST-SECONDARY OR HIGHER,architecture and construction,EMPLOYED IN PRIVATE SECTOR,24.0,1595.0,MARRIED,11.0,1963.0,7.0,1995.0,DELIGHTED,3.0,MOST PEOPLE CAN BE TRUSTED,YES,NO,YES,0.0,NO,12.0,NO,NO,NO,1.0,NO,,BELGIUM,NONE,175.0,66.0
MALE,26.0,RURAL AREAS,Lubelskie,SECONDARY,no specialisation,RETIRED,0.0,519.0,WIDOWED,4.0,1969.0,1.0,1983.0,MOSTLY SATISFIED,4.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,11.0,YES,40.0,NO,NO,NO,10.0,NO,,GERMANY,ACTIVE,153.0,73.0
MALE,36.0,RURAL AREAS,Swietokrzyskie,POST-SECONDARY OR HIGHER,technical science,EMPLOYED IN PUBLIC SECTOR,6.0,1529.0,MARRIED,5.0,1991.0,8.0,2005.0,PLEASED,4.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,11.0,NO,15.0,NO,NO,NO,7.0,NO,,NETHERLANDS,ACTIVE,166.0,79.0
FEMALE,27.0,"URBAN 20,000-100,000",Lubelskie,SECONDARY,law,RETIRED,0.0,524.0,MARRIED,10.0,1976.0,11.0,1994.0,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,19.0,NO,20.0,NO,NO,NO,14.0,NO,,NETHERLANDS,NONE,180.0,70.0
FEMALE,52.0,"URBAN 20,000-100,000",Mazowieckie,POST-SECONDARY OR HIGHER,architecture and construction,OTHER ECONOMICALLY INACTIVE,0.0,5412.0,SINGLE,3.0,1968.0,9.0,2000.0,MOSTLY SATISFIED,0.0,ONE CAN`T BE TOO CAREFUL,YES,NO,YES,19.0,NO,15.0,NO,NO,NO,5.0,NO,,SPAIN,NONE,163.0,82.0
FEMALE,22.0,RURAL AREAS,Mazowieckie,VOCATIONAL/GRAMMAR,production and processing,PUPIL OR STUDENT,0.0,1539.0,MARRIED,6.0,1983.0,4.0,2002.0,MOSTLY SATISFIED,8.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,12.0,NO,20.0,NO,NO,NO,29.0,NO,,GERMANY,NONE,175.0,75.0
FEMALE,44.0,"URBAN 100,000-200,000",Opolskie,POST-SECONDARY OR HIGHER,technical science,PUPIL OR STUDENT,0.0,956.0,MARRIED,8.0,2003.0,8.0,2005.0,PLEASED,3.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NO,8.0,NO,12.0,NO,NO,NO,2.0,NO,,NETHERLANDS,NONE,177.0,73.0
MALE,41.0,RURAL AREAS,Podkarpackie,SECONDARY,technical science,PUPIL OR STUDENT,0.0,969.0,MARRIED,10.0,1950.0,4.0,2002.0,MOSTLY SATISFIED,1.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,21.0,NO,7.0,NO,NO,NO,25.0,"YES, TO EU COUNTRY",MORE THAN 2 YEARS,SWEDEN,NONE,175.0,68.0
MALE,25.0,"URBAN 500,000 AND OVER",Dolnoslaskie,PRIMARY/NO EDUCATION,no specialisation,UNEMPLOYED,0.0,931.0,WIDOWED,6.0,1983.0,1.0,2003.0,MOSTLY SATISFIED,10.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,5.0,NO,20.0,NO,NO,NO,1.0,NO,,GERMANY,NONE,172.0,110.0
FEMALE,28.0,RURAL AREAS,Lubuskie,SECONDARY,computer science,RETIRED,0.0,1609.0,MARRIED,10.0,1989.0,6.0,1987.0,MOSTLY SATISFIED,4.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,6.0,YES,20.0,NO,NO,NO,3.0,NO,,GERMANY,NONE,155.0,74.0
FEMALE,37.0,"URBAN 100,000-200,000",Warminsko-mazurskie,SECONDARY,pedagogics,PUPIL OR STUDENT,24.0,1070.0,MARRIED,6.0,1978.0,9.0,1998.0,MIXED,16.0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,YES,2.0,YES,15.0,NO,NO,YES,4.0,NO,,BELGIUM,NONE,155.0,67.0
