"sex","age","placesize","region","edu","eduspec","socprof","unempdur","income","marital","mmarr","ymarr","msepdiv","ysepdiv","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight"
"FEMALE",74,"URBAN BELOW 20,000","Opolskie","SECONDARY","economy and administration","RETIRED",0,3000,"MARRIED",10,1982,NA,NA,"MIXED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",2,"YES",12,"NO","NO","NO",NA,NA,NA,NA,"NONE",164,82
"MALE",56,"RURAL AREAS","Lubelskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","RETIRED",0,4000,"SINGLE",NA,NA,NA,NA,"MOSTLY DISSATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",7,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",167,80
"FEMALE",18,"RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","economy and administration","PUPIL OR STUDENT",0,700,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",6,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",3,"NO",NA,"YES","YES",NA,NA,"NO",NA,NA,"ACTIVE",175,61
"FEMALE",19,"URBAN BELOW 20,000","Slaskie","PRIMARY/NO EDUCATION","no specialisation","OTHER ECONOMICALLY INACTIVE",0,NA,"SINGLE",NA,NA,NA,NA,"MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"YES",20,"NO","NO",NA,NA,"NO",NA,NA,"NONE",155,58
"FEMALE",78,"RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",NA,1500,"WIDOWED",9,1955,7,2004,"MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,70
"MALE",28,"URBAN BELOW 20,000","Lubuskie","SECONDARY","no specialisation","EMPLOYED IN PRIVATE SECTOR",0,2500,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",20,"YES","NO","NO",NA,"NO",NA,NA,"PASSIVE",180,63
"MALE",52,"RURAL AREAS","Lodzkie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,2400,"MARRIED",1,1983,NA,NA,"MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",178,90
"MALE",65,"URBAN 100,000-200,000","Slaskie","SECONDARY","technical science","RETIRED",24,3000,"MARRIED",2,1971,NA,NA,"PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",4,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,85
"FEMALE",61,"RURAL AREAS","Podlaskie","SECONDARY","no specialisation","LONG-TERM SICK/DISABLED",NA,1200,"WIDOWED",9,1975,7,2004,"MIXED",8,"MOST PEOPLE CAN BE TRUSTED","NO","NO","YES",7,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,60
"FEMALE",19,"URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR",NA,"OTHER ECONOMICALLY INACTIVE",24,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,55
"MALE",52,"RURAL AREAS","Opolskie","PRIMARY/NO EDUCATION","no specialisation","SELF-EMPLOYED",NA,1000,"MARRIED",9,1979,NA,NA,"MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",184,94
"MALE",64,"URBAN 500,000 AND OVER","Dolnoslaskie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,1680,"MARRIED",6,1980,NA,NA,"MOSTLY SATISFIED",4,"IT`S DIFFICULT TO TELL","YES","YES","YES",8,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,76
"FEMALE",63,"RURAL AREAS","Kujawsko-pomorskie","PRIMARY/NO EDUCATION","no specialisation","UNEMPLOYED",24,NA,"WIDOWED",10,1969,3,1997,"MOSTLY DISSATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",3,"YES",10,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,65
"MALE",36,"URBAN BELOW 20,000","Podkarpackie","POST-SECONDARY OR HIGHER","economy and administration","SELF-EMPLOYED",0,2200,"MARRIED",4,1998,NA,NA,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",NA,"YES",15,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",170,71
"MALE",47,"RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,1800,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",0,"YES",20,"YES","NO","NO",NA,"NO",NA,NA,"NONE",180,76
"MALE",64,"RURAL AREAS","Slaskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PRIVATE SECTOR",0,NA,"MARRIED",1,1973,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",14,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",170,82
"FEMALE",25,"RURAL AREAS","Swietokrzyskie","VOCATIONAL/GRAMMAR","social sciences","EMPLOYED IN PUBLIC SECTOR",16,1000,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,52
"MALE",40,"URBAN 20,000-100,000","Pomorskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",2,2380,"MARRIED",10,1990,NA,NA,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"YES, TO EU COUNTRY","IT DEPENDS","GERMANY","NONE",185,104
"FEMALE",19,"RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",NA,1300,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",162,70
"MALE",36,"URBAN BELOW 20,000","Swietokrzyskie","POST-SECONDARY OR HIGHER","liberal arts","EMPLOYED IN PUBLIC SECTOR",NA,3000,"MARRIED",4,1999,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",180,93
"FEMALE",40,"URBAN BELOW 20,000","Malopolskie","SECONDARY","production and processing","EMPLOYED IN PUBLIC SECTOR",NA,550,"MARRIED",4,1989,NA,NA,"MOSTLY SATISFIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",12,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,59
"FEMALE",49,"RURAL AREAS","Lubuskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","OTHER ECONOMICALLY INACTIVE",24,650,"MARRIED",5,1981,NA,NA,"PLEASED",NA,NA,NA,"NO OPINION","YES",4,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,51
"MALE",18,"URBAN 500,000 AND OVER","Mazowieckie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",NA,NA,"SINGLE",NA,NA,NA,NA,"DELIGHTED",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","NO",3,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"ACTIVE",170,80
"MALE",27,"URBAN BELOW 20,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","architecture and construction","UNEMPLOYED",14,NA,"MARRIED",9,2006,NA,NA,"DELIGHTED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",20,"YES","YES",NA,NA,"NO",NA,NA,"NONE",180,69
"MALE",18,"RURAL AREAS","Malopolskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",NA,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",NA,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"ACTIVE",170,74
"FEMALE",49,"RURAL AREAS","Lodzkie","VOCATIONAL/GRAMMAR","technical science","OTHER ECONOMICALLY INACTIVE",6,NA,"MARRIED",9,1989,NA,NA,"MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"YES",30,"YES","YES",NA,NA,"YES, TO EU COUNTRY","LESS THAN 1 YEAR","NETHERLANDS","NONE",164,80
"MALE",63,"RURAL AREAS","Wielkopolskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","RETIRED",24,1300,"MARRIED",11,1971,NA,NA,"MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",174,88
"FEMALE",36,"URBAN 500,000 AND OVER","Lodzkie","PRIMARY/NO EDUCATION","no specialisation","EMPLOYED IN PRIVATE SECTOR",8,1000,"MARRIED",10,1998,NA,NA,"MOSTLY SATISFIED",0,"IT`S DIFFICULT TO TELL","YES","NO","NO",6,"YES",10,"NO",NA,"NO",NA,"NO",NA,NA,"NONE",163,60
"MALE",24,"URBAN 100,000-200,000","Slaskie","PRIMARY/NO EDUCATION","no specialisation","EMPLOYED IN PRIVATE SECTOR",6,2000,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",168,70
"MALE",44,"URBAN BELOW 20,000","Zachodnio-pomorskie","SECONDARY","armed forces and country protection","EMPLOYED IN PUBLIC SECTOR",0,2400,"MARRIED",1,1989,NA,NA,"DELIGHTED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO","NO",2,"YES",10,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,92
"MALE",51,"URBAN 500,000 AND OVER","Wielkopolskie","SECONDARY","technical science","EMPLOYED IN PUBLIC SECTOR",0,1500,"MARRIED",8,1984,NA,NA,"PLEASED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",NA,NA
"MALE",61,"URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","SELF-EMPLOYED",0,1500,"DIVORCED",4,1973,1,1995,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,85
"MALE",65,"RURAL AREAS","Lubelskie","VOCATIONAL/GRAMMAR","production and processing","RETIRED",NA,1700,"MARRIED",11,1971,NA,NA,"MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",175,75
"MALE",57,"URBAN 100,000-200,000","Swietokrzyskie","SECONDARY","healthcare","EMPLOYED IN PUBLIC SECTOR",0,1500,"MARRIED",9,1980,NA,NA,"PLEASED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",169,80
"FEMALE",49,"URBAN 100,000-200,000","Opolskie","SECONDARY","no specialisation","UNEMPLOYED",12,800,"WIDOWED",4,1982,2,2008,"MIXED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",7,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,55
"MALE",17,"URBAN 20,000-100,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",NA,NA,"SINGLE",NA,NA,NA,NA,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",10,"NO",NA,"NO","NO",NA,NA,"NO",NA,NA,"ACTIVE",190,89
"MALE",52,"RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","production and processing","EMPLOYED IN PRIVATE SECTOR",NA,1400,"DIVORCED",6,1984,6,2000,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"YES",30,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,96
"MALE",56,"URBAN 100,000-200,000","Slaskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PRIVATE SECTOR",0,1800,"MARRIED",6,1979,NA,NA,"MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",12,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",180,70
"FEMALE",46,"RURAL AREAS","Lubelskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",NA,1100,"WIDOWED",9,1984,9,2005,"MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"YES",10,"NO","NO","NO",NA,"NO",NA,NA,"NONE",164,57
"FEMALE",62,"RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","LONG-TERM SICK/DISABLED",0,728,"MARRIED",4,1965,NA,NA,"PLEASED",10,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",10,"NO",NA,"NO","NO","YES",36,"YES, TO EU COUNTRY","LESS THAN 1 YEAR","FRANCE","NONE",160,90
"FEMALE",32,"RURAL AREAS","Pomorskie","POST-SECONDARY OR HIGHER","architecture and construction","FARMER",0,2500,"WIDOWED",6,2007,12,2002,"PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",15,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",163,63
"FEMALE",47,"RURAL AREAS","Podlaskie","SECONDARY","architecture and construction","FARMER",NA,950,"MARRIED",6,1986,NA,NA,"MOSTLY SATISFIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",12,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",170,79
"MALE",56,"URBAN 100,000-200,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","technical science","UNEMPLOYED",24,NA,"MARRIED",9,2006,NA,NA,"MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","NO","YES","YES",20,"YES",20,"NO","NO","NO",NA,"NO",NA,NA,"NONE",172,70
"FEMALE",44,"URBAN 100,000-200,000","Zachodnio-pomorskie","SECONDARY","social sciences","EMPLOYED IN PUBLIC SECTOR",NA,720,"MARRIED",2,1988,NA,NA,"MIXED",4,"IT`S DIFFICULT TO TELL","YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,67
"MALE",45,"RURAL AREAS","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","production and processing","EMPLOYED IN PRIVATE SECTOR",NA,1500,"MARRIED",6,1993,NA,NA,"MIXED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,"YES",20,"YES","YES","NO",NA,"NO",NA,NA,"NONE",174,78
"FEMALE",52,"RURAL AREAS","Dolnoslaskie","VOCATIONAL/GRAMMAR","production and processing","OTHER ECONOMICALLY INACTIVE",24,NA,"MARRIED",4,1981,NA,NA,"PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",15,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",166,82
"FEMALE",49,"RURAL AREAS","Malopolskie","POST-SECONDARY OR HIGHER","liberal arts","EMPLOYED IN PRIVATE SECTOR",0,2400,"DE FACTO SEPARATED",9,1995,NA,NA,"MOSTLY DISSATISFIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",157,68
"FEMALE",61,"URBAN 20,000-100,000","Kujawsko-pomorskie","SECONDARY","no specialisation","RETIRED",0,1200,"MARRIED",12,1975,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",6,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",162,86
"FEMALE",20,"URBAN 500,000 AND OVER","Malopolskie","SECONDARY","no specialisation","PUPIL OR STUDENT",5,NA,"SINGLE",NA,NA,NA,NA,"PLEASED",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","NO",10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",177,55
"FEMALE",61,"URBAN BELOW 20,000","Pomorskie","PRIMARY/NO EDUCATION","no specialisation","SELF-EMPLOYED",0,NA,"MARRIED",8,1970,NA,NA,"MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"YES",5,"NO","NO","NO",NA,"NO",NA,NA,"NONE",176,80
"FEMALE",29,"RURAL AREAS","Swietokrzyskie","POST-SECONDARY OR HIGHER","public health","SELF-EMPLOYED",0,2000,"MARRIED",9,2000,NA,NA,"PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"ACTIVE",171,62
"MALE",48,"RURAL AREAS","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","FARMER",0,1000,"MARRIED",7,1985,NA,NA,"MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",170,100
"FEMALE",74,"URBAN 100,000-200,000","Podkarpackie","SECONDARY","economy and administration","RETIRED",24,700,"MARRIED",7,1957,NA,NA,"MOSTLY DISSATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",12,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",160,65
"FEMALE",82,"RURAL AREAS","Mazowieckie","SECONDARY","social sciences","RETIRED",24,980,"WIDOWED",2,1948,6,2005,"MIXED",5,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",2,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",165,72
"MALE",40,"URBAN 20,000-100,000","Slaskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PUBLIC SECTOR",0,NA,"MARRIED",6,1997,NA,NA,"PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",2,NA,NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",180,95
"FEMALE",54,"RURAL AREAS","Slaskie","POST-SECONDARY OR HIGHER","pedagogics","LONG-TERM SICK/DISABLED",3,NA,"MARRIED",6,1981,NA,NA,"MOSTLY SATISFIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA,10,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"PASSIVE",164,72
"FEMALE",82,"RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","LONG-TERM SICK/DISABLED",NA,900,"WIDOWED",9,1948,1,1994,"MIXED",9,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"YES",20,"NO","NO",NA,NA,"NO",NA,NA,"NONE",150,58
"FEMALE",84,"URBAN 500,000 AND OVER","Mazowieckie","SECONDARY","social sciences","RETIRED",24,110,"WIDOWED",6,1953,10,1968,"MOSTLY SATISFIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",12,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",158,65
"MALE",74,"URBAN 20,000-100,000","Lubelskie","SECONDARY","technical science","RETIRED",24,760,"SINGLE",NA,NA,NA,NA,"MIXED",14,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",0,"NO",NA,"NO","NO","NO",NA,"NO",NA,NA,"NONE",178,82
