sex,age,placesize,region,edu,eduspec,socprof,unempdur,income,marital,mmarr,ymarr,msepdiv,ysepdiv,ls,depress,trust,trustfam,trustneigh,sport,nofriend,smoke,nociga,alcabuse,alcsol,workab,wkabdur,wkabint,wkabintdur,emcc,englang,height,weight
FEMALE,53,RURAL AREAS,Swietokrzyskie,SECONDARY,architecture and construction,LONG-TERM SICK/DISABLED,23.0,,SINGLE,5.0,1986.0,,,PLEASED,8.0,ONE CAN`T BE TOO CAREFUL,YES,NO,NO,0.0,NO,,YES,NO,NO,,NO,,,NONE,167.0,51.0
MALE,22,"URBAN 100,000-200,000",Mazowieckie,VOCATIONAL/GRAMMAR,technical science,EMPLOYED IN PRIVATE SECTOR,0.0,,SINGLE,7.0,1981.0,,,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,0.0,NO,,NO,NO,,,"YES, TO EU COUNTRY",FOREVER,GERMANY,ACTIVE,168.0,80.0
MALE,70,"URBAN 500,000 AND OVER",Lubuskie,POST-SECONDARY OR HIGHER,"agriculture, forestry, fishing",SELF-EMPLOYED,0.0,2046.0,MARRIED,8.0,1988.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,,YES,YES,20.0,NO,,NO,NO,NO,,NO,,,NONE,163.0,72.0
MALE,20,"URBAN 100,000-200,000",Malopolskie,SECONDARY,no specialisation,PUPIL OR STUDENT,22.0,,SINGLE,7.0,1981.0,,1998.0,MIXED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,NO,11.0,NO,,NO,NO,,,NO,,,ACTIVE,147.0,95.0
MALE,61,RURAL AREAS,Podkarpackie,VOCATIONAL/GRAMMAR,economy and administration,FARMER,,129.0,MARRIED,6.0,1990.0,,,MOSTLY SATISFIED,4.0,MOST PEOPLE CAN BE TRUSTED,YES,YES,YES,1.0,NO,16.0,NO,NO,NO,,NO,LESS THAN 1 YEAR,,NONE,189.0,92.0
FEMALE,51,"URBAN 100,000-200,000",Kujawsko-pomorskie,SECONDARY,no specialisation,LONG-TERM SICK/DISABLED,6.0,,MARRIED,,1974.0,,2001.0,MIXED,5.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2.0,NO,,NO,NO,NO,,NO,,,NONE,162.0,82.0
FEMALE,16,"URBAN 100,000-200,000",Kujawsko-pomorskie,SECONDARY,social sciences,PUPIL OR STUDENT,,,SINGLE,7.0,1981.0,,1998.0,MOSTLY SATISFIED,2.0,ONE CAN`T BE TOO CAREFUL,NO OPINION,YES,NO,3.0,NO,,NO,NO,NO,,"YES, TO EU COUNTRY",IT DEPENDS,,NONE,178.0,56.0
FEMALE,31,"URBAN BELOW 20,000",Slaskie,PRIMARY/NO EDUCATION,no specialisation,EMPLOYED IN PUBLIC SECTOR,6.0,,DIVORCED,,1980.0,,,MOSTLY SATISFIED,7.0,IT`S DIFFICULT TO TELL,YES,YES,YES,0.0,NO,16.0,NO,NO,NO,,NO,,,PASSIVE,189.0,66.0
FEMALE,16,RURAL AREAS,Podkarpackie,SECONDARY,no specialisation,EMPLOYED IN PUBLIC SECTOR,3.0,1705.0,SINGLE,,1981.0,,,PLEASED,0.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,8.0,NO,,NO,NO,NO,,NO,,,ACTIVE,177.0,62.0
FEMALE,69,RURAL AREAS,Kujawsko-pomorskie,PRIMARY/NO EDUCATION,no specialisation,RETIRED,6.0,100.0,MARRIED,10.0,1960.0,,,MIXED,10.0,ONE CAN`T BE TOO CAREFUL,YES,YES,YES,2.0,NO,,NO,NO,NO,,NO,,,NONE,170.0,48.0
